glossary.australia	pages.sharing.countries.australia
glossary.belgium	pages.sharing.countries.belgium
glossary.brazil	pages.sharing.countries.brazil
glossary.canada	pages.sharing.countries.canada
glossary.chile	pages.sharing.countries.chile
glossary.czechia	pages.sharing.countries.czechia
glossary.fiji	pages.sharing.countries.fiji
glossary.finland	pages.sharing.countries.finland
glossary.france	pages.sharing.countries.france
glossary.germany	pages.sharing.countries.germany
glossary.greece	pages.sharing.countries.greece
glossary.ireland	pages.sharing.countries.ireland
glossary.italy	pages.sharing.countries.italy
glossary.new_zealand	pages.sharing.countries.new_zealand
glossary.portugal	pages.sharing.countries.portugal
glossary.spain	pages.sharing.countries.spain
glossary.sweden	pages.sharing.countries.sweden
glossary.switzerland	pages.sharing.countries.switzerland
glossary.united_kingdom	pages.sharing.countries.united_kingdom
glossary.united_states	pages.sharing.countries.united_states
changes.recent_changes	pages.changes.recent_changes
changes.change_in_city	pages.changes.change_in_city
changes.type.added	pages.changes.type.added
changes.type.edited	pages.changes.type.edited
changes.type.visited	pages.changes.type.visited
glossary.add_source	menu.add_new_location
glossary.delete	form.button.delete
glossary.season	locations.form.season
glossary.send	users.send
glossary.save_changes	users.save_changes
glossary.login	users.login
glossary.labels	pages.settings.labels
glossary.links.one	pages.datasets.link
glossary.imported_datasets	pages.datasets.imported_datasets
glossary.edit	form.button.edit
glossary.data	pages.settings.data
glossary.donate	pages.about.donate
glossary.submit	form.button.submit
glossary.access	locations.form.access
glossary.position	locations.form.position
glossary.types	glossary.type.other
glossary.report	form.button.report
